id,minute,second,period,playerName,playerId,teamId,h_a,x,y,type,outcomeType,qualifiers
2944993885.0,40,29.0,FirstHalf,Achraf Hakimi,320834,495,a,47.8,27.1,Interception,Successful,"[{""type"": ""Zone"", ""value"": ""Back""}]"
2944993889.0,40,30.0,FirstHalf,Ayyoub Bouaddi,504830,495,a,38.3,15.7,BallRecovery,Successful,[]
2944993937.0,41,20.0,FirstHalf,Ryan Christie,128882,424,h,21.3,26.1,Interception,Successful,"[{""type"": ""Zone"", ""value"": ""Back""}]"
2944993939.0,41,21.0,FirstHalf,Ryan Christie,128882,424,h,24.3,21.5,BallRecovery,Successful,[]
2944993943.0,41,24.0,FirstHalf,Ismael Saibari,404776,495,a,82.4,94.6,Tackle,Successful,"[{""type"": ""Zone"", ""value"": ""Left""}, {""type"": ""StandingSave""}, {""type"": ""OppositeRelatedEvent"", ""value"": ""263""}, {""type"": ""Offensive""}]"
2944993973.0,42,6.0,FirstHalf,Yassine Bounou,136220,495,a,7.4,34.8,KeeperPickup,Successful,[]
2944993979.0,42,24.0,FirstHalf,Grant Hanley,86593,424,h,23.2,6.7,BallRecovery,Successful,[]
2944993999.0,43,38.0,FirstHalf,Ismael Saibari,404776,495,a,10.5,51.9,Clearance,Successful,"[{""type"": ""Head""}, {""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""PassEndX"", ""value"": ""3.8""}, {""type"": ""PassEndY"", ""value"": ""23.9""}, {""type"": ""Length"", ""value"": ""20.3""}, {""type"": ""Angle"", ""value"": ""4.36""}]"
2944994001.0,43,42.0,FirstHalf,Achraf Hakimi,320834,495,a,8.6,6.6,BallRecovery,Successful,[]
2944994005.0,43,45.0,FirstHalf,Ryan Christie,128882,424,h,37.2,92.0,BallRecovery,Successful,[]
2944994101.0,46,48.0,FirstHalf,Issa Diop,300359,495,a,12.1,35.6,Clearance,Successful,"[{""type"": ""Head""}, {""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""PassEndX"", ""value"": ""26.2""}, {""type"": ""PassEndY"", ""value"": ""44.1""}, {""type"": ""Length"", ""value"": ""15.9""}, {""type"": ""Angle"", ""value"": ""0.37""}]"
2944994105.0,46,51.0,FirstHalf,Neil El Aynaoui,486734,495,a,17.6,47.2,Tackle,Unsuccessful,"[{""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""StandingSave""}, {""type"": ""OppositeRelatedEvent"", ""value"": ""322""}, {""type"": ""Defensive""}]"
2944994113.0,46,57.0,FirstHalf,Azzedine Ounahi,392361,495,a,8.1,35.7,Save,Successful,"[{""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""OutfielderBlock""}, {""type"": ""OppositeRelatedEvent"", ""value"": ""325""}]"
2944994123.0,47,38.0,FirstHalf,Issa Diop,300359,495,a,7.8,41.3,Clearance,Successful,"[{""type"": ""Head""}, {""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""PassEndX"", ""value"": ""10.8""}, {""type"": ""PassEndY"", ""value"": ""36.8""}, {""type"": ""Length"", ""value"": ""4.4""}, {""type"": ""Angle"", ""value"": ""5.51""}]"
2944994129.0,47,40.0,FirstHalf,Noussair Mazraoui,349932,495,a,6.8,51.8,Clearance,Successful,"[{""type"": ""Zone"", ""value"": ""Center""}, {""type"": ""PassEndX"", ""value"": ""60.3""}, {""type"": ""PassEndY"", ""value"": ""60.2""}, {""type"": ""Length"", ""value"": ""56.5""}, {""type"": ""Angle"", ""value"": ""0.10""}]"
2944994151.0,48,29.0,FirstHalf,Lewis Ferguson,396971,424,h,65.2,8.8,BallRecovery,Successful,[]
2944994179.0,49,3.0,FirstHalf,Yassine Bounou,136220,495,a,10.0,53.8,KeeperPickup,Successful,[]
2944994185.0,49,21.0,FirstHalf,Grant Hanley,86593,424,h,22.1,29.7,Clearance,Successful,"[{""type"": ""Head""}, {""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""PassEndX"", ""value"": ""36.8""}, {""type"": ""PassEndY"", ""value"": ""28.3""}, {""type"": ""Length"", ""value"": ""15.5""}, {""type"": ""Angle"", ""value"": ""6.22""}]"
2944994199.0,49,22.0,FirstHalf,Ryan Christie,128882,424,h,31.8,28.2,BallRecovery,Successful,[]
2944994187.0,49,23.0,FirstHalf,Azzedine Ounahi,392361,495,a,66.4,74.8,Tackle,Successful,"[{""type"": ""Zone"", ""value"": ""Center""}, {""type"": ""StandingSave""}, {""type"": ""OppositeRelatedEvent"", ""value"": ""350""}, {""type"": ""Defensive""}]"
2944994235.0,49,24.0,FirstHalf,Lewis Ferguson,396971,424,h,33.0,26.2,Tackle,Unsuccessful,"[{""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""StandingSave""}, {""type"": ""OppositeRelatedEvent"", ""value"": ""480""}, {""type"": ""Defensive""}]"
2944994193.0,49,25.0,FirstHalf,Lewis Ferguson,396971,424,h,34.3,24.8,Tackle,Unsuccessful,"[{""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""StandingSave""}, {""type"": ""OppositeRelatedEvent"", ""value"": ""481""}, {""type"": ""Defensive""}]"
2944994237.0,49,28.0,FirstHalf,Bilal El Khannouss,433572,495,a,63.3,94.2,BallRecovery,Successful,[]
2944994359.0,45,42.0,SecondHalf,Lewis Ferguson,396971,424,h,60.4,16.0,Interception,Successful,"[{""type"": ""Zone"", ""value"": ""Right""}]"
2944994367.0,45,45.0,SecondHalf,Grant Hanley,86593,424,h,40.4,22.2,BallRecovery,Successful,[]
2944994481.0,47,1.0,SecondHalf,Issa Diop,300359,495,a,13.0,31.0,Clearance,Successful,"[{""type"": ""Head""}, {""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""PassEndX"", ""value"": ""11.7""}, {""type"": ""PassEndY"", ""value"": ""0.0""}, {""type"": ""Length"", ""value"": ""22.5""}, {""type"": ""Angle"", ""value"": ""4.65""}]"
2944994523.0,47,38.0,SecondHalf,Bilal El Khannouss,433572,495,a,14.6,51.5,Clearance,Successful,"[{""type"": ""Head""}, {""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""PassEndX"", ""value"": ""26.6""}, {""type"": ""PassEndY"", ""value"": ""25.9""}, {""type"": ""Length"", ""value"": ""21.5""}, {""type"": ""Angle"", ""value"": ""5.34""}]"
2944994551.0,47,56.0,SecondHalf,Brahim Díaz,317541,495,a,33.8,17.1,BallRecovery,Successful,[]
2944994563.0,48,6.0,SecondHalf,John McGinn,318449,424,h,58.5,41.3,BallRecovery,Successful,[]
2944994571.0,48,11.0,SecondHalf,Chadi Riad,454342,495,a,17.8,67.5,BlockedPass,Successful,"[{""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""OppositeRelatedEvent"", ""value"": ""408""}, {""type"": ""Defensive""}]"
2944994661.0,49,45.0,SecondHalf,Jack Hendry,280210,424,h,9.4,43.2,Save,Successful,"[{""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""OutfielderBlock""}, {""type"": ""OppositeRelatedEvent"", ""value"": ""528""}]"
2944994705.0,50,31.0,SecondHalf,Grant Hanley,86593,424,h,9.0,55.6,Clearance,Successful,"[{""type"": ""Head""}, {""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""PassEndX"", ""value"": ""0.0""}, {""type"": ""PassEndY"", ""value"": ""73.2""}, {""type"": ""Length"", ""value"": ""15.4""}, {""type"": ""Angle"", ""value"": ""2.26""}]"
2944994861.0,51,15.0,SecondHalf,Andy Robertson,115726,424,h,2.0,67.1,Clearance,Successful,"[{""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""PassEndX"", ""value"": ""14.8""}, {""type"": ""PassEndY"", ""value"": ""100.0""}, {""type"": ""Length"", ""value"": ""27.0""}, {""type"": ""Angle"", ""value"": ""1.05""}]"
2944994767.0,52,14.0,SecondHalf,Jack Hendry,280210,424,h,14.6,61.3,Tackle,Successful,"[{""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""StandingSave""}, {""type"": ""OppositeRelatedEvent"", ""value"": ""541""}, {""type"": ""Defensive""}]"
2944994769.0,52,15.0,SecondHalf,Angus Gunn,318896,424,h,9.0,45.1,KeeperPickup,Successful,[]
2944994839.0,53,3.0,SecondHalf,Lewis Ferguson,396971,424,h,33.8,78.4,Tackle,Successful,"[{""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""StandingSave""}, {""type"": ""OppositeRelatedEvent"", ""value"": ""553""}, {""type"": ""Defensive""}]"
2944994841.0,53,4.0,SecondHalf,Andy Robertson,115726,424,h,38.1,85.7,BallRecovery,Successful,[]
2944994925.0,54,4.0,SecondHalf,Bilal El Khannouss,433572,495,a,23.6,93.7,BallRecovery,Successful,[]
2944994991.0,54,46.0,SecondHalf,Lewis Ferguson,396971,424,h,72.2,87.2,BallRecovery,Successful,[]
2944995135.0,56,48.0,SecondHalf,Kieran Tierney,297403,424,h,15.0,83.6,Interception,Successful,"[{""type"": ""Zone"", ""value"": ""Back""}]"
2944995153.0,56,54.0,SecondHalf,Scott McTominay,336915,424,h,16.2,85.0,BallRecovery,Successful,[]
2944995163.0,56,58.0,SecondHalf,Issa Diop,300359,495,a,54.8,17.5,BallRecovery,Successful,[]
2944995175.0,57,4.0,SecondHalf,Jack Hendry,280210,424,h,5.3,64.8,Save,Successful,"[{""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""OutfielderBlock""}, {""type"": ""OppositeRelatedEvent"", ""value"": ""601""}]"
2944995177.0,57,8.0,SecondHalf,Andy Robertson,115726,424,h,15.4,80.6,BallRecovery,Successful,[]
2944995203.0,57,16.0,SecondHalf,Ayyoub Bouaddi,504830,495,a,45.3,25.4,BallRecovery,Successful,[]
2944995247.0,57,43.0,SecondHalf,Lewis Ferguson,396971,424,h,28.1,82.0,Interception,Successful,"[{""type"": ""Zone"", ""value"": ""Back""}]"
2944995359.0,59,55.0,SecondHalf,Ryan Christie,128882,424,h,61.1,16.4,Interception,Successful,"[{""type"": ""Zone"", ""value"": ""Right""}]"
2944995367.0,59,57.0,SecondHalf,Jack Hendry,280210,424,h,45.9,32.5,BallRecovery,Successful,[]
2944995421.0,60,37.0,SecondHalf,Azzedine Ounahi,392361,495,a,42.7,83.2,BallRecovery,Successful,[]
2944995435.0,60,46.0,SecondHalf,Jack Hendry,280210,424,h,9.4,43.0,Clearance,Successful,"[{""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""PassEndX"", ""value"": ""5.5""}, {""type"": ""PassEndY"", ""value"": ""28.9""}, {""type"": ""Length"", ""value"": ""10.4""}, {""type"": ""Angle"", ""value"": ""4.31""}]"
