playerName,playerId,teamId,h_a,x,y,minute,second,type,period
Noussair Mazraoui,349932,495,a,13.5,63.7,6,19.0,Pass,FirstHalf
Bilal El Khannouss,433572,495,a,9.5,75.9,6,21.0,Pass,FirstHalf
Yassine Bounou,136220,495,a,3.6,56.8,6,23.0,Pass,FirstHalf
Grant Hanley,86593,424,h,55.8,5.0,6,27.0,Pass,FirstHalf
Ryan Christie,128882,424,h,72.2,21.6,6,29.0,Pass,FirstHalf
Noussair Mazraoui,349932,495,a,32.0,100.0,6,38.0,Pass,FirstHalf
Chadi Riad,454342,495,a,32.2,80.9,6,41.0,Pass,FirstHalf
Neil El Aynaoui,486734,495,a,39.5,82.7,6,42.0,Pass,FirstHalf
Ayyoub Bouaddi,504830,495,a,37.7,65.5,6,43.0,Pass,FirstHalf
Neil El Aynaoui,486734,495,a,35.3,81.5,6,45.0,Pass,FirstHalf
Ayyoub Bouaddi,504830,495,a,44.3,46.0,6,51.0,Pass,FirstHalf
Neil El Aynaoui,486734,495,a,45.2,67.2,6,54.0,Pass,FirstHalf
Bilal El Khannouss,433572,495,a,60.2,94.1,6,57.0,Pass,FirstHalf
Neil El Aynaoui,486734,495,a,45.5,65.7,7,1.0,Pass,FirstHalf
Azzedine Ounahi,392361,495,a,59.2,22.8,7,5.0,Pass,FirstHalf
Brahim Díaz,317541,495,a,60.4,14.3,7,8.0,Pass,FirstHalf
Ayyoub Bouaddi,504830,495,a,61.1,25.1,7,9.0,Pass,FirstHalf
Azzedine Ounahi,392361,495,a,64.9,2.3,7,11.0,Pass,FirstHalf
Achraf Hakimi,320834,495,a,65.4,12.2,7,13.0,Pass,FirstHalf
Brahim Díaz,317541,495,a,63.9,26.1,7,16.0,Pass,FirstHalf
Issa Diop,300359,495,a,38.9,10.5,7,19.0,Pass,FirstHalf
Azzedine Ounahi,392361,495,a,51.4,10.2,7,22.0,Pass,FirstHalf
Ayyoub Bouaddi,504830,495,a,57.9,22.1,7,23.0,Pass,FirstHalf
Brahim Díaz,317541,495,a,61.0,28.7,7,28.0,Pass,FirstHalf
Jack Hendry,280210,424,h,18.2,67.6,7,30.0,Clearance,FirstHalf
Andy Robertson,115726,424,h,24.3,79.1,7,31.0,Pass,FirstHalf
Ché Adams,256419,424,h,46.4,56.0,7,33.0,BallTouch,FirstHalf
Neil El Aynaoui,486734,495,a,56.7,44.6,7,35.0,Pass,FirstHalf
Noussair Mazraoui,349932,495,a,50.4,58.1,7,36.0,Pass,FirstHalf
Ismael Saibari,404776,495,a,71.6,68.8,7,40.0,Pass,FirstHalf
Bilal El Khannouss,433572,495,a,71.4,87.1,7,43.0,Pass,FirstHalf
Neil El Aynaoui,486734,495,a,97.3,73.4,7,45.0,BallTouch,FirstHalf
Jack Hendry,280210,424,h,5.4,62.6,8,12.0,Pass,FirstHalf
Angus Gunn,318896,424,h,4.3,46.3,8,14.0,Pass,FirstHalf
John McGinn,318449,424,h,57.4,8.8,8,19.0,Pass,FirstHalf
Yassine Bounou,136220,495,a,14.4,53.1,8,27.0,Pass,FirstHalf
Issa Diop,300359,495,a,25.3,27.4,8,32.0,Pass,FirstHalf
Chadi Riad,454342,495,a,23.3,57.4,8,37.0,Pass,FirstHalf
Issa Diop,300359,495,a,25.5,23.4,8,42.0,Pass,FirstHalf
Chadi Riad,454342,495,a,17.9,49.2,8,45.0,Pass,FirstHalf
Issa Diop,300359,495,a,23.9,12.9,8,48.0,Pass,FirstHalf
Azzedine Ounahi,392361,495,a,31.1,4.8,8,52.0,Pass,FirstHalf
Ayyoub Bouaddi,504830,495,a,26.1,18.5,8,53.0,Pass,FirstHalf
Issa Diop,300359,495,a,13.2,10.2,8,55.0,Pass,FirstHalf
Ayyoub Bouaddi,504830,495,a,24.5,6.1,8,58.0,BallTouch,FirstHalf
Scott McTominay,336915,424,h,81.9,94.1,9,4.0,Pass,FirstHalf
Andy Robertson,115726,424,h,60.6,95.6,9,7.0,Pass,FirstHalf
Jack Hendry,280210,424,h,33.4,75.1,9,10.0,Pass,FirstHalf
Grant Hanley,86593,424,h,27.6,33.7,9,15.0,Pass,FirstHalf
Jack Hendry,280210,424,h,26.5,63.3,9,18.0,Pass,FirstHalf
Grant Hanley,86593,424,h,28.8,32.7,9,22.0,Pass,FirstHalf
Jack Hendry,280210,424,h,38.2,72.7,9,26.0,Pass,FirstHalf
Andy Robertson,115726,424,h,34.0,86.8,9,29.0,Pass,FirstHalf
Lewis Ferguson,396971,424,h,23.3,67.0,9,32.0,Pass,FirstHalf
Grant Hanley,86593,424,h,22.9,28.0,9,35.0,Pass,FirstHalf
Ryan Christie,128882,424,h,32.6,31.3,9,37.0,BallTouch,FirstHalf
Ismael Saibari,404776,495,a,69.6,55.3,9,41.0,Pass,FirstHalf
Azzedine Ounahi,392361,495,a,89.9,68.3,9,44.0,Pass,FirstHalf
Angus Gunn,318896,424,h,4.5,42.2,10,16.0,Pass,FirstHalf
John McGinn,318449,424,h,71.3,26.2,10,21.0,Pass,FirstHalf
Kieran Tierney,297403,424,h,80.0,30.4,10,23.0,BallTouch,FirstHalf
Noussair Mazraoui,349932,495,a,13.9,67.3,10,24.0,Clearance,FirstHalf
Lewis Ferguson,396971,424,h,59.2,56.6,10,27.0,Pass,FirstHalf
Kieran Tierney,297403,424,h,77.1,53.6,10,29.0,Pass,FirstHalf
Ryan Christie,128882,424,h,70.4,51.6,10,31.0,Dispossessed,FirstHalf
Neil El Aynaoui,486734,495,a,29.6,48.4,10,31.0,Tackle,FirstHalf
Azzedine Ounahi,392361,495,a,31.5,48.3,10,32.0,Pass,FirstHalf
Neil El Aynaoui,486734,495,a,25.3,55.1,10,34.0,Dispossessed,FirstHalf
Ryan Christie,128882,424,h,74.7,44.9,10,34.0,Tackle,FirstHalf
Ryan Christie,128882,424,h,74.9,39.6,10,36.0,Dispossessed,FirstHalf
Neil El Aynaoui,486734,495,a,25.1,60.4,10,36.0,Tackle,FirstHalf
Neil El Aynaoui,486734,495,a,25.9,58.4,10,36.0,Pass,FirstHalf
Bilal El Khannouss,433572,495,a,38.4,62.1,10,38.0,Pass,FirstHalf
Ismael Saibari,404776,495,a,82.2,80.9,10,44.0,Pass,FirstHalf
Bilal El Khannouss,433572,495,a,80.1,59.2,10,46.0,Pass,FirstHalf
Ché Adams,256419,424,h,8.8,45.4,10,50.0,Clearance,FirstHalf
Ismael Saibari,404776,495,a,95.0,81.7,10,54.0,Pass,FirstHalf
Azzedine Ounahi,392361,495,a,92.1,64.0,10,57.0,TakeOn,FirstHalf
Ché Adams,256419,424,h,8.0,36.0,10,57.0,Tackle,FirstHalf
Azzedine Ounahi,392361,495,a,99.5,99.5,11,29.0,Pass,FirstHalf
Brahim Díaz,317541,495,a,88.4,91.4,11,32.0,Pass,FirstHalf
Achraf Hakimi,320834,495,a,69.4,89.5,11,34.0,Pass,FirstHalf
Azzedine Ounahi,392361,495,a,79.5,94.7,11,37.0,Pass,FirstHalf
Achraf Hakimi,320834,495,a,97.4,82.0,11,40.0,Pass,FirstHalf
Lewis Ferguson,396971,424,h,12.5,36.9,11,41.0,Clearance,FirstHalf
Noussair Mazraoui,349932,495,a,72.1,100.0,11,55.0,Pass,FirstHalf
Chadi Riad,454342,495,a,52.5,82.9,12,2.0,Pass,FirstHalf
Neil El Aynaoui,486734,495,a,44.8,62.4,12,5.0,Pass,FirstHalf
Ayyoub Bouaddi,504830,495,a,57.3,63.4,12,6.0,Pass,FirstHalf
Neil El Aynaoui,486734,495,a,44.5,51.8,12,8.0,Pass,FirstHalf
Issa Diop,300359,495,a,46.3,16.2,12,11.0,Pass,FirstHalf
Achraf Hakimi,320834,495,a,58.2,26.7,12,13.0,Pass,FirstHalf
Brahim Díaz,317541,495,a,60.4,5.4,12,15.0,Pass,FirstHalf
Achraf Hakimi,320834,495,a,57.2,20.3,12,17.0,Pass,FirstHalf
Neil El Aynaoui,486734,495,a,41.8,26.2,12,19.0,Pass,FirstHalf
Chadi Riad,454342,495,a,46.0,65.7,12,25.0,Pass,FirstHalf
Noussair Mazraoui,349932,495,a,45.3,86.3,12,27.0,Pass,FirstHalf
Neil El Aynaoui,486734,495,a,45.0,53.1,12,30.0,Pass,FirstHalf
Achraf Hakimi,320834,495,a,45.8,27.7,12,32.0,Pass,FirstHalf
Neil El Aynaoui,486734,495,a,43.1,41.9,12,35.0,Pass,FirstHalf
Issa Diop,300359,495,a,50.7,7.9,12,37.0,Pass,FirstHalf
