playerName,playerId,teamId,h_a,x,y,minute,second,type,period
Jesús Gallardo,252248,972,h,84.4,91.4,6,53.0,Pass,FirstHalf
Julián Quiñones,509557,972,h,78.2,73.0,6,55.0,Pass,FirstHalf
Luis Romo,447635,972,h,77.8,62.4,6,56.0,Pass,FirstHalf
Brian Gutiérrez,396565,972,h,75.4,60.8,6,59.0,MissedShots,FirstHalf
Kim Seung-Gyu,71968,1159,a,12.3,31.4,7,13.0,Pass,FirstHalf
Raúl Rangel,527319,972,h,11.1,56.1,7,20.0,Pass,FirstHalf
Edson Álvarez,322696,972,h,22.6,44.6,7,23.0,Pass,FirstHalf
Luis Romo,447635,972,h,31.0,54.3,7,26.0,Pass,FirstHalf
Érik Lira,447638,972,h,45.6,46.7,7,31.0,Pass,FirstHalf
Jorge Sánchez,447643,972,h,43.7,17.7,7,34.0,Pass,FirstHalf
Roberto Alvarado,447636,972,h,47.0,5.3,7,35.0,Pass,FirstHalf
Edson Álvarez,322696,972,h,36.1,22.1,7,38.0,Pass,FirstHalf
Johan Vásquez,425115,972,h,30.4,55.8,7,44.0,Pass,FirstHalf
Raúl Rangel,527319,972,h,8.6,48.2,7,56.0,Pass,FirstHalf
Lee Gi-Hyuk,447593,1159,a,55.7,88.5,8,0.0,Pass,FirstHalf
Seol Young-Woo,477549,1159,a,67.5,88.1,8,2.0,Pass,FirstHalf
Johan Vásquez,425115,972,h,21.6,42.2,8,2.0,Pass,FirstHalf
Lee Gi-Hyuk,447593,1159,a,39.9,87.0,8,8.0,Pass,FirstHalf
Kim Min-Jae,370912,1159,a,39.0,45.7,8,12.0,Pass,FirstHalf
Kim Moon-Hwan,414214,1159,a,46.5,7.9,8,17.0,Pass,FirstHalf
Lee Han-Beom,531031,1159,a,35.0,21.4,8,19.0,Pass,FirstHalf
Kim Min-Jae,370912,1159,a,30.3,51.2,8,25.0,Pass,FirstHalf
Lee Han-Beom,531031,1159,a,38.7,30.7,8,29.0,Pass,FirstHalf
Kim Min-Jae,370912,1159,a,32.5,54.9,8,33.0,Pass,FirstHalf
Lee Han-Beom,531031,1159,a,33.2,22.6,8,36.0,Pass,FirstHalf
Lee Kang-In,367780,1159,a,39.9,11.8,8,41.0,Pass,FirstHalf
Lee Han-Beom,531031,1159,a,32.2,28.9,8,45.0,Pass,FirstHalf
Lee Kang-In,367780,1159,a,36.6,25.9,8,47.0,Pass,FirstHalf
Raúl Rangel,527319,972,h,4.7,50.1,9,16.0,Pass,FirstHalf
Raúl Jiménez,108186,972,h,64.7,50.5,9,18.0,Pass,FirstHalf
Julián Quiñones,509557,972,h,67.6,44.0,9,22.0,Pass,FirstHalf
Brian Gutiérrez,396565,972,h,71.0,27.9,9,24.0,Pass,FirstHalf
Roberto Alvarado,447636,972,h,86.4,8.0,9,27.0,Pass,FirstHalf
Lee Gi-Hyuk,447593,1159,a,12.8,87.1,9,29.0,BallTouch,FirstHalf
Lee Jae-Sung,142959,1159,a,20.8,69.7,9,30.0,Pass,FirstHalf
Paik Seung-Ho,362786,1159,a,14.5,69.0,9,31.0,Pass,FirstHalf
Lee Jae-Sung,142959,1159,a,23.3,78.5,9,32.0,Pass,FirstHalf
Lee Gi-Hyuk,447593,1159,a,13.7,85.4,9,33.0,Pass,FirstHalf
